mpd_id,formula,elements,nsites,nelements,volume,density,density_atomic,deprecated,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,is_stable,equilibrium_reaction_energy_per_atom,band_gap,efermi,is_gap_direct,is_metal,is_magnetic,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,universal_anisotropy,homogeneous_poisson,theoretical,cbm,vbm,e_total,e_ionic,e_electronic,n,e_ij_max,weighted_surface_energy_EV_PER_ANG2,weighted_surface_energy,weighted_work_function,surface_anisotropy,shape_factor,has_reconstructed
mp-1220023,OsRu,"Os,Ru",2,2,27.6954145940275,17.4655276763718,13.8477072970138,False,-39.219687745,-39.219687745,-0.014805672500003,0,True,-0.008601371666671,0,8.51497656,False,True,False,0.0000007,2.52749420891845E-08,0.0000007,0,0,0.021,0.244,True,,,,,,,,,,,,,
mp-974326,OsRu3,"Os,Ru",8,2,109.585620274373,14.9540860374127,13.6982025342966,False,-32.324015135,-32.324015135,-0.009306451250004,0,True,-0.001903615000003,0,8.61862993,False,True,False,0,0,0,0,0,0.046,0.233,True,,,,,,,,,,,,,
mp-20905,OsS2,"Os,S",12,2,179.416653778962,9.41662232761815,14.9513878149135,False,-23.5018562491667,-23.5018562491667,-0.484088481041671,0,True,-0.484088481041666,0,7.70295189,False,True,False,0,0,0,0,0,0.382,0.211,False,,,,,,,,,,,,,
mp-2480,OsSe2,"Os,Se",12,2,213.781358138846,10.8169707793009,17.8151131782372,False,-27.4825387066667,-27.4825387066667,-0.279755602708334,0,True,-0.279755602708338,0,6.05196427,False,True,False,0,0,0,0,0,,,False,,,,,,,,,,,,,
mp-1198672,OsSeS3Cl4,"Os,Se,S,Cl",36,4,1018.78628967041,3.30675998097616,28.2996191575113,False,-4.14426584916667,-4.58482140472222,-0.748194377482638,0,True,-0.018942146388887,1.4276,1.90982786,False,False,False,0.0000183,1.79625503263499E-08,0.000004575,0,0,,,False,1.9099,0.4823,,,,,,,,,,,
mp-568348,P,P,84,1,1935.1232668474,2.23261431900742,23.0371817481833,False,-9.00207631202381,-9.00207631202381,0,0,True,0,1.8454,3.13064958,False,False,False,0,0,0,0,0,,,False,4.9428,3.0974,,,,,,,,,,,
mp-570238,P10Au7I,"P,Au,I",18,3,373.806711078144,8.06447807837066,20.7670395043413,False,-26.2296561761111,-4.52454289,-0.158102786190476,0,True,-0.031721355820709,0.4964,4.554516,False,False,False,0,0,0,0,0,,,True,4.9713,4.4749,21.5678519133333,6.06301481,15.5048371033333,3.9376182018237,,,,,,,
mp-646669,P28Pb5I2,"P,Pb,I",140,3,3529.6275048629,4.0592454585318,25.211625034735,False,-5.01703925307143,-5.03869639592857,-0.088852987642855,0,True,-0.008032804642858,1.1116,4.46603239,True,False,False,0.0002901,8.21899760244724E-08,0.000072525,0,0,,,False,5.542,4.4304,,,,,,,,,,,
mp-703476,P2H16N4O7,"P,H,N,O",58,4,515.013821486981,1.58696305983236,8.87954864632726,False,-5.61176813637931,-5.82738882603448,-1.23626992652709,0,True,-0.005034447655171,4.9093,-0.58183816,False,False,False,0.000109499999999,2.12615653078678E-07,0.00005475,0,0,,,False,4.3272,-0.5821,,,,,,,,,,,
mp-1196394,P2H19C6I7N,"P,H,C,I,N",140,5,2667.07612402484,2.62864628745692,19.0505437430346,False,-4.503607544,-4.58972182971429,-0.311682649515306,0,True,-0.00021446739286,1.5585,0.57465263,True,False,False,0.1578455,5.91829751607532E-05,0.039461375,0,0,,,False,1.8561,0.2976,,,,,,,,,,,
mp-24298,P2H4PbO4,"P,H,Pb,O",22,4,294.234694956408,3.80577408330046,13.3743043162004,False,-5.44850570863636,-5.76341479954546,-1.40740535448052,0,True,-0.01713321435065,3.8794,0.97172181,False,False,False,0.0003454,1.17389283425999E-06,0.0001727,0,0,,,False,4.7048,0.8254,,,,,,,,,,,
mp-27141,P2H8O9,"P,H,O",76,3,682.5692199477,2.08251249514076,8.98117394668026,False,-6.77473169447368,-6.12627088697369,-1.78290627614662,0.006350440789473,False,,5.5563,-1.10413453,False,False,False,0,0,0,0,0,,,False,4.4354,-1.1209,,,,,,,,,,,
mp-779221,P2H9(CBr)3,"P,H,(,C,Br,)",68,4,1008.93029914816,2.28286789810102,14.8372102815906,False,-4.61206992602941,-4.70630522014706,-0.353879776649159,0,True,-0.00184534019958,2.5072,-0.01763132,True,False,False,0.001003,9.94122191440612E-07,0.00025075,0,0,,,False,2.4967,-0.0105,,,,,,,,,,,
mp-1198510,P2H9NO8,"P,H,N,O",80,4,725.157394023796,1.95118744040309,9.06446742529745,False,-6.726358689875,-6.10165343925,-1.63618290002678,0.001885109374989,False,,5.4441,-0.95745163,False,False,False,0,0,0,0,0,,,False,4.4814,-0.9627,,,,,,,,,,,
